,stat_field,unique_value,count
8282,Operator,L. L. & E.,1
8283,Operator,L.E.ELLIOTT,1
8284,Operator,L.H.PEARSON,1
8285,Operator,L.J. PETERSON,1
8286,Operator,LA GLORIA CORP,5
8287,Operator,LA GLORIA OIL & GAS,3
8288,Operator,LA PIELE EXPL,1
8289,Operator,LA PRELE EXPL,1
8290,Operator,LA RUE DRILLING,1
8291,Operator,LA RUE DRILLING CO,1
8292,Operator,LA RUE DRLG CO,1
8293,Operator,LAB ENERGY,3
8294,Operator,LACEY-GEORGE & WRATHER,1
8295,Operator,LACID OIL,1
8296,Operator,LACKEY G T,1
8297,Operator,LACKY,1
8298,Operator,LACY AMOUR,1
8299,Operator,LACY-CARTER,1
8300,Operator,LADD,2
8301,Operator,LADD & LEWIS,4
8302,Operator,LADD & LIKOWOCZ,1
8303,Operator,LADD & LUCKOWICZ,3
8304,Operator,LADD & LUCOWICZ INC.,1
8305,Operator,LADD & LUDOWICZ INC.,1
8306,Operator,LADD & LUKOWICZ,13
8307,Operator,LADD & LUKOWICZ; LARIO,1
8308,Operator,LADD PET,11
8309,Operator,LADD PETR,7
8310,Operator,"LADD PETR, OXFORD EXPL. ET AL",1
8311,Operator,LADD PETRO,1
8312,Operator,LADD PETROLEUM,75
8313,Operator,LADD PETROLEUM GENERAL AM OIL,1
8314,Operator,LAGLORIA CORP,2
8315,Operator,LAHABANA,2
8316,Operator,LAHABANA CORP,1
8317,Operator,LAKE CREEK,1
8318,Operator,LAKE OIL,2
8319,Operator,LAKOTA,1
8320,Operator,LAKOTA PETR,3
8321,Operator,LAKOTA PETR./ARROWHEAD EXPL.,1
8322,Operator,LAKOTA PETROLEUM,3
8323,Operator,LAKOTA PETROLEUM CORP,1
8324,Operator,LAMAR HUNT,28
8325,Operator,LAMAR OIL CO,1
8326,Operator,LANAM & WIER,1
8327,Operator,LANDAUER & ASSOC,1
8328,Operator,LANDAUER & ASSOC./APACHE CORP.,1
8329,Operator,LANDAUER & DEE J T DRILLING,1
8330,Operator,LANDAUER & KENNDY,1
8331,Operator,LANDAVER & ASSOCIATES,1
8332,Operator,LANDES EXPLORATION,1
8333,Operator,LANDES TOD,1
8334,Operator,LANDHEIM DEV,2
8335,Operator,LANDHEIM DEV CO,2
8336,Operator,LANGHAM PETROLEUM,1
8337,Operator,LANTERMAN,1
8338,Operator,LARCO DRILLING/VICTOR P. SMITH,1
8339,Operator,LARIO O&G COMPANY,4
8340,Operator,LARIO O&G-AMBER RES.,3
8341,Operator,LARIO OIL & GAS,78
8342,Operator,LARIO OIL & GAS CO,1
8343,Operator,LARIO OIL & GAS CO.,2
8344,Operator,LARIO OIL AND GAS,3
8345,Operator,LARIO OIL CO,1
8346,Operator,LARIO OIL& GAS,1
8347,Operator,LARK OIL,2
8348,Operator,LARRAZOLA,1
8349,Operator,LARRY BARKER,1
8350,Operator,LARUE E B JR,1
8351,Operator,LASME ENERGY,1
8352,Operator,LASMO ENERGY CORP,3
8353,Operator,LATE OIL COMPANY,1
8354,Operator,LAUCOMER,1
8355,Operator,LAWRENCE B MARCUS,1
8356,Operator,LAWRENCE BAKER,1
8357,Operator,LAWRENCE BARKER,8
8358,Operator,LAWRENCE BARKER ET AL,2
8359,Operator,LAWRENCE BARKER JR,2
8360,Operator,LAWRENCE BARKER-CONTINENTAL OIL,1
8361,Operator,LAWRENCE MATERI R E HUDSON,2
8362,Operator,LAYNE ENERGY,2
8363,Operator,LAYTON OIL,1
8364,Operator,LEACH,3
8365,Operator,LEACH & KELSCH,3
8366,Operator,LEACH OIL,1
8367,Operator,LEACH-CALVERT,1
8368,Operator,LEACH-CARDINAL,1
8369,Operator,LEAR PETROLEUM,47
8370,Operator,LEAR PETROLEUM CORP,4
8371,Operator,LEAR PETROLEUM/TENNECO,1
8372,Operator,LEBEN,1
8373,Operator,LEBEN DRILLING INC-NCRA,1
8374,Operator,LEBEN DRLG,4
8375,Operator,LECADA NAT GAS CO,1
8376,Operator,LECLAIN OPERATING,1
8377,Operator,LECLAIR -WESTWOOD ETAL,1
8378,Operator,LECLAIR OPERATING,2
8379,Operator,LECLAIR WESTWOOD INC,1
8380,Operator,LECLAIR-WESTWOOD,1
8381,Operator,LECLAIR-WESTWOOD ET AL,1
8382,Operator,LECLAIR-WESTWOOD ETL,1
8383,Operator,LECLAIR-WESTWOOD INC,1
8384,Operator,LEDBETTER & MC LANAHAN,1
8385,Operator,LEE ARMER,1
8386,Operator,LEE DRILLING,1
8387,Operator,LEE DRILLING CO,1
8388,Operator,LEE DRLG CO,2
8389,Operator,LEE EDWARDS,1
8390,Operator,LEE SWEDLUND,1
8391,Operator,LEE SWEDLUND & FALCON SEABOARD,1
8392,Operator,LEEDE OIL AND GAS INC,1
8393,Operator,LEEMAN ENERGY,1
8394,Operator,LELAND FIKES,1
8395,Operator,LELAND FIKES & AMERICAN LIBERTY OIL,1
8396,Operator,LELAND M. KNAPP,1
8397,Operator,LEMM & MAIALICO,1
8398,Operator,LEMM & MAIATICO,1
8399,Operator,LEMM MAIATICO,1
8400,Operator,LEMM-MAIATICO,1
8401,Operator,LEN MAYER,2
8402,Operator,LEN MAYER OIL PRODUCING,1
8403,Operator,LEN MAYER/H & M OIL,1
8404,Operator,LEN PERKINS INC,1
8405,Operator,LENOIR M JOSEY,1
8406,Operator,LEON OLIVER JR,1
8407,Operator,LEON WONDRA,1
8408,Operator,LEONARD HAY,2
8409,Operator,LERC,3
8410,Operator,LES CAL CO; ET AL,1
8411,Operator,LES ROBERTSON,1
8412,Operator,LESLIE BOWLING,1
8413,Operator,LESTER FERLEY,2
8414,Operator,LEVERSON/TRIDENT OIL & GAS  OWDD,1
8415,Operator,LEWIS & CLARK,1
8416,Operator,LEWIS & CLARK EXPL,7
8417,Operator,LEWIS & CLARK EXPL.,3
8418,Operator,LEWIS & CLARK EXPLORATION,15
8419,Operator,LEWIS & CLARK EXPLORATION CO.,1
8420,Operator,LEWIS BROS,1
8421,Operator,LEWIS BROTHER,1
8422,Operator,LEWIS BROTHERS,6
8423,Operator,LEWIS BROTHERS INC,1
8424,Operator,LEWIS DRILLING,1
8425,Operator,LEWIS DRILLING CO,1
8426,Operator,LEWIS DRLG,2
8427,Operator,LEWIS ENERGY,1
8428,Operator,LEWIS G COFFEY,2
8429,Operator,LEWIS MACK,1
8430,Operator,LEWMONT & DESERT OIL,1
8431,Operator,LEWMONT DRLG,3
8432,Operator,LEXICON RESOURCES,1
8433,Operator,LIBERTY OIL & GAS,1
8434,Operator,LIBERTY OIL & URANIUM,2
8435,Operator,LIBERTY OIL & URANIUM CO,2
8436,Operator,LIBERTY PETROLEUM,3
8437,Operator,LINCOLN MAGGARD & MAST DRILLING,1
8438,Operator,LINCOLN OIL GAS & REF,1
8439,Operator,LINCOLN OIL GAS & REFINING,1
8440,Operator,LINEHAM & STALTENBERG,1
8441,Operator,LINEHAM & STOLTENBERG,1
8442,Operator,LINEHAN & STALTENBERG,1
8443,Operator,LINMAR ENERGY,3
8444,Operator,LINMAR ENERGY CORP.,1
8445,Operator,LION,14
8446,Operator,LION CONTINENTAL,1
8447,Operator,LION OIL,87
8448,Operator,LION OIL & CONTINENTAL OIL,1
8449,Operator,LION OIL & GAS,1
8450,Operator,LION OIL (MONSAN TO),1
8451,Operator,LION OIL (MONSANTO),51
8452,Operator,LION OIL - CONTINENTAL OIL,1
8453,Operator,LION OIL CO,86
8454,Operator,LION OIL CO (MONSANTO),3
8455,Operator,LION OIL CO MONSANTO,1
8456,Operator,LION OIL COMPANY,4
8457,Operator,LION OIL MANSANTO,1
8458,Operator,LION OIL MONSANTO,4
8459,Operator,LION-BROWN,1
8460,Operator,LION-CONTINENTAL,1
8461,Operator,LION-MONSANTO,1
8462,Operator,LION-POTEET,1
8463,Operator,LITTLE & RICHARDSON,1
8464,Operator,LITTLE VALLEY OIL,1
8465,Operator,LIVINGSTON & COURDIN,1
8466,Operator,LIVINGSTON & COURDIN EXPL.,1
8467,Operator,LL&E,4
8468,Operator,LL&E/PRUET AND HUGHES,1
8469,Operator,LLOYD POWERS,4
8470,Operator,LLOYD SMITH,1
8471,Operator,LOBO EXPLORATION,2
8472,Operator,LOBO EXPLORATION & AMOCO,1
8473,Operator,LOBO PRODUCTION,1
8474,Operator,LOCIN OIL CORP,1
8475,Operator,LOCK & TAYLOR,1
8476,Operator,LOCKE & TAYLOR,1
8477,Operator,LOHMAN JOHNSON DRLG VIRGIL O KING,1
8478,Operator,LOHMANN JOHNSON DRLG,1
8479,Operator,LOHMANN-JOHNSON,5
8480,Operator,LOHMANN-JOHNSON DRLG,2
8481,Operator,LOHMANN-JOHNSON DRLG CO,1
8482,Operator,LOHMANN-JOHNSON VIRGIL KING ETAL,1
8483,Operator,LOMAK PETROLEUM,1
8484,Operator,LOMAX EXPLORATION,10
8485,Operator,LOMAX PETROLEUM,2
8486,Operator,LON H CRON,3
8487,Operator,LONE STAR,3
8488,Operator,LONE STAR PROD CO,1
8489,Operator,LONE STAR PRODUCING,13
8490,Operator,LONE STAR PRODUCTION,1
8491,Operator,LONESTAR PRODUCING,1
8492,Operator,LONG ISLAND L&E,2
8493,Operator,LONG PETROLEUM,5
8494,Operator,LONG-B HOWELL,1
8495,Operator,LOS ANGELES PETROLEUM,1
8496,Operator,LOS NIETOR CO,1
8497,Operator,LOS NIETOS CO,1
8498,Operator,LOS NIETOS OIL,1
8499,Operator,LOS NIETOS OIL CO,1
8500,Operator,LOTUS PETR ARROWHEAD EXPL ET AL,1
8501,Operator,LOTUS PETROLEUM,1
8502,Operator,LOU COSTELLO,1
8503,Operator,LOUISANA LAND & EXPL,2
8504,Operator,LOUISIANA LAND,10
8505,Operator,LOUISIANA LAND & EXP,130
8506,Operator,LOUISIANA LAND & EXPL,23
8507,Operator,LOUISIANA LAND & EXPL.,22
8508,Operator,LOUISIANA LAND & EXPL. CO.,4
8509,Operator,LOUISIANA LAND & EXPLOR.,5
8510,Operator,LOUISIANA LAND & EXPLORATION,64
8511,Operator,LOUISIANA LAND & PURCHASE,1
8512,Operator,LOUISIANA LAND &EXPL,1
8513,Operator,LOUISIANA LAND AND ENERGY,2
8514,Operator,LOUISIANA LAND AND EXPLORATION,5
8515,Operator,LOUISISANA LAND & EXPLORATION,3
8516,Operator,LOVE,1
8517,Operator,LOVE & ZOLLAR,1
8518,Operator,LOVE MILLER DRLG A A SEELIGSON,1
8519,Operator,LOVE MILLER DRLG CO,1
8520,Operator,LOVE OIL,15
8521,Operator,LOVE OIL COMPANY INC,2
8522,Operator,LOVE OIL TRIHOPE & NYVATEX,1
8523,Operator,LOVE OIL TRIHOPE PET,1
8524,Operator,LOVE OIL TRIHOPE PETR NYVATEX OIL,1
8525,Operator,LOVE OIL-TRIHOPE PETR-NYVATEX,1
8526,Operator,LOVE OIL: NYVATES OIL,1
8527,Operator,LOVE OIL; ECHO OIL,1
8528,Operator,LOVE PETROLEUM,3
8529,Operator,LOVE-INTER-TECH,3
8530,Operator,LOVE-INTER-TECH CO-OP,1
8531,Operator,LOVE-MILLER,2
8532,Operator,LOVE-MILLER DRLG,3
8533,Operator,LOWE RALPH,1
8534,Operator,LOWELL & DANIELS,4
8535,Operator,LOWELL & DANIELS INC,1
8536,Operator,LOWELL & MCDANIELS,1
8537,Operator,LOWELL & WILLIAMSON,2
8538,Operator,LOWELL DANIELS,1
8539,Operator,LOWELL J WILLIAMS,3
8540,Operator,LOWELL J WILLIAMSON,59
8541,Operator,LOWELL J WILLIAMSON SUNRAY MID-CONT,1
8542,Operator,LOWELL RASMUSSEN & EXETER,1
8543,Operator,LOWELL WILLIAMSON,4
8544,Operator,LOWELL-DANIELS INC,1
8545,Operator,LOWELL-GIST,1
8546,Operator,LOWELL; VOLTZ & CONTINENTAL,1
8547,Operator,LOWERY ET AL/ CAULKINS OIL,1
8548,Operator,LOWRY ET AL,2
8549,Operator,LOWRY ETAL,2
8550,Operator,LRG EXPLORATION,1
8551,Operator,LUBAR OIL,10
8552,Operator,LUBAR OIL & STRAIN DRLG,3
8553,Operator,LUBAR OIL-WOODWARD CO,1
8554,Operator,LUBAR-SHAMLEE,1
8555,Operator,LUBER,2
8556,Operator,LUBER OIL,2
8557,Operator,LUBER-CARDINAL,3
8558,Operator,LUCERNE OIL CO,1
8559,Operator,LUFF & ALPINE,1
8560,Operator,LUFF & ALPINE OIL,2
8561,Operator,LUFF EXETER PETROLEUM INC,1
8562,Operator,LUFF EXPL,2
8563,Operator,LUFF EXPLORATION,11
8564,Operator,LUFF EXPLORATION CO.,1
8565,Operator,LUFF HANOVER,1
8566,Operator,LUFF KENNETH D,12
8567,Operator,LUFF MARTINETS-ALPINE OIL,1
8568,Operator,LUFF&MARTINETS:ALPINE,2
8569,Operator,LUFF-MARTINETS ALPINE,1
8570,Operator,LULING OIL & GAS,1
8571,Operator,LUND,3
8572,Operator,LYCAN OIL & GAS,1
8573,Operator,LYDA HUNT,1
8574,Operator,LYDA HUNT-HERBERT TRUST,1
8575,Operator,LYDA HUNT-HERBERT TRUSTS,2
8576,Operator,LYDIA JOHNSON,1
8577,Operator,LYLE K PROTHERO; BEN FLEMING,1
8578,Operator,LYN PETROLEUM/BENTON ENERGY,1
8579,Operator,LYNCH PHIL,1
8580,Operator,LYNCO,1
8581,Operator,LYNX EXPLORATION,5
8582,Operator,LYTM INCORPORATED,2
8583,Operator,"LYTM, INC.",2
8584,Operator,M & F OIL & GAS CO,1
8585,Operator,M & J OIL,10
8586,Operator,M & J OIL COMPANY,18
8587,Operator,M & T,3
8588,Operator,M & T INC,1
8589,Operator,M & T INCORPORATED,2
8590,Operator,M A ISERN,1
8591,Operator,M A ROMERO,1
8592,Operator,M B ARMER & PFISTER,1
8593,Operator,M BRAZIEL; M J MITCHELL,1
8594,Operator,M C HOOVER; ROBERTS & MURPHY,1
8595,Operator,M D K FITZWATER,1
8596,Operator,M D MCGREGOR ET AL,1
8597,Operator,M D MILLER,1
8598,Operator,M E DAVIS,3
8599,Operator,M E MORTON,1
8600,Operator,M F LEWIS,1
8601,Operator,M F S,1
8602,Operator,M H O DRILLING,1
8603,Operator,M HALBOUTY,1
8604,Operator,M J BRANNON,1
8605,Operator,M J LEBSACK,7
8606,Operator,M J MITCHELL,5
8607,Operator,M K M,3
8608,Operator,M K M EXPLO,1
8609,Operator,M K M EXPLORATION,18
8610,Operator,M K M OIL,21
8611,Operator,M K M OIL CO,1
8612,Operator,M K M OIL TEXACO INC,1
8613,Operator,M L HUNT OIL,1
8614,Operator,M L M DRLG-DOW&MC HUGH,1
8615,Operator,M M GARRETT,1
8616,Operator,M M NEWELL OIL,1
8617,Operator,M P GILBERT,11
8618,Operator,M PETTERSON SR & G O MICKELSON,1
8619,Operator,M W J PRODUCING,2
8620,Operator,M W J PRODUCING CO,1
8621,Operator,M W VOLENTINE,5
8622,Operator,M W VOLENTINE JAMES SHARP,1
8623,Operator,M W VOLINTINE,4
8624,Operator,M W WILLIAM,1
8625,Operator,M-BAR OIL CO,1
8626,Operator,M. P. GILBERT,1
8627,Operator,M.K.M. EXPLORATION,1
8628,Operator,M.K.M.EXPLORATION,1
8629,Operator,M.R.T. EXPLORATION,1
8630,Operator,MAC FULTON,1
8631,Operator,MAC KINNIE OIL & DRLG,1
8632,Operator,MAC OIL CO,1
8633,Operator,MACAULEY-DOROUGH,1
8634,Operator,MACEY & MERSHON,3
8635,Operator,MACEY & MERSHON OIL,1
8636,Operator,MACHII-ROSSI PET,1
8637,Operator,MACK LOUIS W JR,1
8638,Operator,MACK PETROLEUM,1
8639,Operator,MACKINNER-NARAPAS PETR,1
8640,Operator,MACKINNIE OIL & DRG,1
8641,Operator,MACMILLAN PETR CO,1
8642,Operator,MACOVLEY-DOROUGH,1
8643,Operator,MACPEF COTTON PETRO,1
8644,Operator,MACPET,23
8645,Operator,MACPET ANSCHUTZ CORP,1
8646,Operator,MACPET ANSCHUTZ MCALESTER FUEL,1
8647,Operator,MACQUEST-PALMER OIL,1
8648,Operator,MACSON OIL,2
8649,Operator,MAE BELCHER,1
8650,Operator,MAE BELCHER TRUST,1
8651,Operator,MAGIC OIL,1
8652,Operator,MAGNA OIL,3
8653,Operator,MAGNOLIA,3
8654,Operator,MAGNOLIA PET,1
8655,Operator,MAGNOLIA PETR,28
8656,Operator,MAGNOLIA PETR CO,4
8657,Operator,MAGNOLIA PETR CORP,1
8658,Operator,MAGNOLIA PETROLEUM,5
8659,Operator,MAGUIRE OIL,4
8660,Operator,MAIMI OIL,1
8661,Operator,MAJOR PETR,1
8662,Operator,MAKOIL INC,1
8663,Operator,MALCO REF,2
8664,Operator,MALCO REF BALDERSON & DENVER,1
8665,Operator,MALCO REFINERIES,5
8666,Operator,MALCO REFINERIES INC,1
8667,Operator,MALCO REFINERIES-WOODWARD OIL,1
8668,Operator,MALCO REFINERISE-WOODWARD OIL,1
8669,Operator,MALLARD EXPLORATION,1
8670,Operator,MALLON GEORGE,3
8671,Operator,MALLON OIL,2
8672,Operator,MALLON OIL CO.,1
8673,Operator,MALLON OIL COMPANY,2
8674,Operator,MANCO OIL CO,1
8675,Operator,MANIFOLD MINERAL & MINING,1
8676,Operator,MANIFOLD MINERALS & MINING,1
8677,Operator,MANNING MAY OIL CO,1
8678,Operator,MANNING-MIDWEST,1
8679,Operator,MAPCO,4
8680,Operator,MAPCO CO,1
8681,Operator,MAPCO COMPANY,4
8682,Operator,MAPCO INC,19
8683,Operator,MAPCO INC ECHO OIL ET AL,1
8684,Operator,MAPCO INC.,3
8685,Operator,MAPCO INCORPORATED,33
8686,Operator,MAPCO OIL & GAS,5
8687,Operator,MAPCO OIL AND GAS,1
8688,Operator,MAPCO PRODUCITON,1
8689,Operator,MAPCO PRODUCTION,6
8690,Operator,MAPCO PRODUCTION CO.,1
8691,Operator,"MAPCO, INC.",9
8692,Operator,MAR-WIN,1
8693,Operator,MAR-WIN DEVELOPMENT,3
8694,Operator,MAR-WIN DEVELOPMENTS,1
8695,Operator,MAR-WIN-DEV,1
8696,Operator,MARALEX RESOURCES,1
8697,Operator,MARATHON,44
8698,Operator,MARATHON OIL,146
8699,Operator,MARATHON OIL & GAS CO.,1
8700,Operator,MARATHON OIL BELCO PETRO,1
8701,Operator,MARATHON OIL CO,51
8702,Operator,MARATHON OIL CO.,15
8703,Operator,MARATHON OIL COMPANY,87
8704,Operator,MARATHON OIL ETAL,1
8705,Operator,MARATHON OIL OIL RESOURCES,1
8706,Operator,MARATHON OIL/HUSKY,2
8707,Operator,MARATHON OIL/PHILLIPS PETR.,1
8708,Operator,MARATHON RESOURCES,4
8709,Operator,MARATHON/PHILLIPS,1
8710,Operator,MARATHON/PHILLIPS PETRO,1
8711,Operator,MARCUS L B,1
8712,Operator,MARIGOLD OIL,1
8713,Operator,MARIGOLD OIL LTD,1
8714,Operator,MARIN OIL,1
8715,Operator,MARINE MINERALS,4
8716,Operator,MARION & BAYLESS,1
8717,Operator,MARK DAVIS,2
8718,Operator,MARK J DAVIS,1
8719,Operator,MARKLEY SNYDER CASE ET AL,1
8720,Operator,MARKWEST ENERGY,3
8721,Operator,MARLAND OIL CO,2
8722,Operator,MARLETTE MARTIN,2
8723,Operator,MARLIN OIL,16
8724,Operator,MARLIN OIL CO,3
8725,Operator,MARLIN OIL COMPANY,3
8726,Operator,MARLIN OIL-EMPIRE OIL & GAS,1
8727,Operator,MARLIN OIL-EQUITY SERVICE,1
8728,Operator,MARLIN OIL; KEBA O & G,1
8729,Operator,MARLIS PROD & ROCKY MTN,1
8730,Operator,MARMICK OIL,3
8731,Operator,MARMICK OIL ROBERTS & MURPHY,1
8732,Operator,MARMIK OIL,15
8733,Operator,MARMIK OIL CO.,1
8734,Operator,MARMIK OIL COMPANY,2
8735,Operator,MARMIK OIL ROBERTS & MURPHY,1
8736,Operator,MARMILK OIL,2
8737,Operator,MARNELL RESOURCES,1
8738,Operator,MARQUIS-ALLRED ENGINEERING,1
8739,Operator,MARSH OPERATORS,1
8740,Operator,MARSH TOM F INC,1
8741,Operator,MARSHALL & WINSTON,2
8742,Operator,MARSHALL & WINSTON-TENNECO,1
8743,Operator,MARSHALL DRLG CO,1
8744,Operator,MARSHALL R YOUNG,2
8745,Operator,MARSHALL R. YOUNG,5
8746,Operator,MARSHALL R. YOUNG OIL,3
8747,Operator,MARSHALL R.YOUNG OIL,1
8748,Operator,MARSHALL YOUNG,1
8749,Operator,MARSHALL YOUNG OIL,2
8750,Operator,MARTEX OIL & GAS,1
8751,Operator,MARTIN & GAYLORD'S,1
8752,Operator,MARTIN ET AL,1
8753,Operator,MARTIN OIL,4
8754,Operator,MARTIN OIL SERVICE,6
8755,Operator,MARTIN TROST ASSOC,1
8756,Operator,MARTIN YATES III,1
8757,Operator,MARTY OHREL,1
8758,Operator,MARVIN MILLER,1
8759,Operator,MARWIN DEVL,1
8760,Operator,MARY OHREL PROD-DEVELOPMENT,1
8761,Operator,MARY OHREL PROD. & DEVELOPMENT,4
8762,Operator,MAST DRILLING,3
8763,Operator,MAST DRLG-CHARLES BALE,1
8764,Operator,MATADOR,1
8765,Operator,MATHERS & NEFF,1
8766,Operator,MATT NEWELL,1
8767,Operator,MAURICE BROWN,2
8768,Operator,MAVERICK OIL,1
8769,Operator,MAX KRUEGER,1
8770,Operator,MAX PRAY,10
8771,Operator,MAX PRAY & JOHN L NELSON,1
8772,Operator,MAX PRAY-SOHIO PETR,1
8773,Operator,MAX THORNTON,1
8774,Operator,MAXEY DRILLING,3
8775,Operator,MAXEY DRLG,5
8776,Operator,MAXEY DRLG TCT CORP SOHIO PETR,1
8777,Operator,MAXIM DRILLING,11
8778,Operator,MAXIM DRILLING & EXPL,2
8779,Operator,MAXIM DRILLING & EXPL.,2
8780,Operator,MAXIM DRILLING & EXPLOR.,1
8781,Operator,MAXIM DRILLING & EXPLORATION,2
8782,Operator,MAXIM DRLG & EXPL,2
8783,Operator,MAXUS EXPLORATION,13
8784,Operator,MAXUS EXPLORATION CO,3
8785,Operator,MAXWELL OIL,1
8786,Operator,MAY PET,1
8787,Operator,MAY PET HELTON ENGINEERING,1
8788,Operator,MAY PETR,1
8789,Operator,MAY PETROLEUM,11
8790,Operator,MAY PETROLEUM INC,1
8791,Operator,MAYCO EXPLORATION,7
8792,Operator,MAYCO EXPLORATION CO.,1
8793,Operator,MAYFAIR MINERALS,1
8794,Operator,MAYNARD OIL,8
8795,Operator,MAYNARD OIL CO.,1
8796,Operator,MAZEL OIL,2
8797,Operator,MC ALESTER FUEL,5
8798,Operator,MC CARTHY-KENDRICK,1
8799,Operator,MC CLURE OIL,3
8800,Operator,MC CULLOCH,1
8801,Operator,MC CULLOCH OIL,1
8802,Operator,MC DANIEL DRLG,1
8803,Operator,MC DANNALD OIL,3
8804,Operator,MC DANNALD OIL CO,3
8805,Operator,MC DERMOTT,1
8806,Operator,MC DONALD OIL CORP,1
8807,Operator,MC DOWELL & CALVERT DRLG,1
8808,Operator,MC ELROY ET AL,1
8809,Operator,MC ELROY RANCH,3
8810,Operator,MC HAHON-BULLINGTON,1
8811,Operator,MC KENNZIE OIL,1
8812,Operator,MC KNAB PROD,1
8813,Operator,MC MAHON-BULLINGTON DRLG,2
8814,Operator,MC MAHON-BULLINGTON DRLG CO,1
8815,Operator,MC RAE OIL & GAS,1
8816,Operator,MC RAE ROBERTS&DERBY,1
8817,Operator,MCADAMS ROUX & ASSOC,13
8818,Operator,"MCADAMS, ROUX, & ASSOC.",1
8819,Operator,MCALESTER,13
8820,Operator,MCALESTER FUEL,68
8821,Operator,MCALESTER FUEL ET AL,1
8822,Operator,MCALESTER-WILCO,5
8823,Operator,MCALPIN & MCALPIN,2
8824,Operator,MCBRIDE,1
8825,Operator,MCBRIDE W C INC,1
8826,Operator,MCBRIDE WC,1
8827,Operator,MCCARTHY OIL & GAS,1
8828,Operator,MCCARTY & COLEMAN,1
8829,Operator,MCCARTY-COLEMAN,1
8830,Operator,MCCOLLOUGH OIL,2
8831,Operator,MCCOLLUCK OIL,1
8832,Operator,MCCONATHY OIL & GAS,1
8833,Operator,MCCORMICK OIL & GAS,1
8834,Operator,MCCORMICK OIL & GAS CO.,1
8835,Operator,MCCORMICK RESOURCES,1
8836,Operator,MCCULLOCH,3
8837,Operator,MCCULLOCH OIL,55
8838,Operator,MCCULLOCH OIL & GAS,11
8839,Operator,MCCULLOCH OIL CORP,2
8840,Operator,MCCULLOCH OIL EXPLORATION,1
8841,Operator,MCCULLOCH OIL OF CAL,1
8842,Operator,MCCULLOCH OIL OF CALIF,5
8843,Operator,MCCULLOCH OIL OF CALIFORNIA,14
8844,Operator,MCCULLOCK OIL,1
8845,Operator,MCCULLOCK OIL & GAS,1
8846,Operator,MCCULLOCK OIL CO,2
8847,Operator,MCCULLOCK OIL OF CALIFORNIA,1
8848,Operator,MCCULLOGH OIL,1
8849,Operator,MCCULLOUGH OIL,2
8850,Operator,MCCUTCHIN DRILLING,2
8851,Operator,MCCUTCHIN JERRY,2
8852,Operator,MCCUTCHIN JERRY JR,1
8853,Operator,MCCUTCHIN; READING & BATES; ALL MNRLS,1
8854,Operator,MCDANIEL DRILLING,1
8855,Operator,MCDANNALD,1
8856,Operator,MCDANNALD OIL,1
8857,Operator,MCDERMONT,1
8858,Operator,MCDERMOTT & BARNHART,3
8859,Operator,MCDERMOTT-SHELL,1
8860,Operator,MCDEVITT & WISE; NEW DRILLING,1
8861,Operator,MCDONALD & EIDE,1
8862,Operator,MCDONALD OIL CORP,1
8863,Operator,MCDONALD-HYDRAULIC DRLG,1
8864,Operator,MCDONNALD OIL,2
8865,Operator,MCDONOUGH-INDRELAND,1
8866,Operator,MCDONOUGH-SCHUEREN,1
8867,Operator,MCDONOUGH-SNYDER,2
8868,Operator,MCELROY,1
8869,Operator,MCELROY & LOHMEN JOHNSON,1
8870,Operator,MCELROY RANCH,11
8871,Operator,MCELROY RANCH BRUCE ANDERSON NAT O&G,1
8872,Operator,MCELROY RANCH CO,1
8873,Operator,MCELROY RANCH UPRR,1
8874,Operator,MCELROY-CLARK,1
8875,Operator,MCELVAIN ENERGY IN,1
8876,Operator,MCELVAIN ENERGY INC,5
8877,Operator,MCELVAIN O&G PROPERTIES,6
8878,Operator,MCELVAIN OIL & GAS,1
8879,Operator,MCELVIAN O&G PROPERTIES,5
8880,Operator,MCGREGOR-ALPINE,1
8881,Operator,MCHUGH,3
8882,Operator,MCHUGH & ASSOCIATES,1
8883,Operator,MCHUGH JEROME P,2
8884,Operator,MCKENZIE METHANE,3
8885,Operator,MCKENZIE PETROLEUM,1
8886,Operator,MCKNAB,5
8887,Operator,MCKNAB PRODUCING,1
8888,Operator,MCKNAB PRODUCTION CO,2
8889,Operator,MCKNIGHT R S,2
8890,Operator,MCKRAB,1
8891,Operator,MCLAUGHLIN,2
8892,Operator,MCLAUGHLIN C T,1
8893,Operator,MCLAUGHLIN-ERICKSON,1
8894,Operator,MCMAHON & BOLLINGTON,1
8895,Operator,MCMAHON & BULLINGTON,3
8896,Operator,MCMAHON BULLINGTON,1
8897,Operator,MCMAHON-BULLINGTON,1
8898,Operator,MCMAHON-BULLINGTON DRLG CO,1
8899,Operator,MCMORAN EXPL,1
8900,Operator,MCMORAN EXPL CO,3
8901,Operator,MCMORAN EXPLOR,1
8902,Operator,MCMORAN EXPLORATION,10
8903,Operator,MCMORAN EXPLORATION CO,1
8904,Operator,MCMORAN OIL & GAS CO.,1
8905,Operator,MCMORAN-FREEPORT OIL,1
8906,Operator,MCMORGAN EXPLORATION,1
8907,Operator,MCOR CORPORATION,1
8908,Operator,MCOR OIL & GAS,29
8909,Operator,MCOR OIL & GAS CO.,1
8910,Operator,MCQUEST PALMER OIL,1
8911,Operator,MCR LLC,1
8912,Operator,MCRAE OIL & GAS,7
